ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,ECO_BIOME_,NNH,NNH_NAME
803,Southeast Iberian shrubs and woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,3,Nature Could Recover
299,Southeast Indochina dry evergreen forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,IN02,3,Nature Could Recover
153,Southeast Papuan rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,AU01,2,Nature Could Reach Half Protected
57,Southern Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,3,Nature Could Recover
116,Southern Africa mangroves,14,Mangroves,Afrotropic,AF14,3,Nature Could Recover
804,Southern Anatolian montane conifer and deciduous forests,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,4,Nature Imperiled
595,Southern Andean steppe,10,Montane Grasslands & Shrublands,Neotropic,NO10,2,Nature Could Reach Half Protected
504,Southern Andean Yungas,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,2,Nature Could Reach Half Protected
272,Southern Annamites montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,2,Nature Could Reach Half Protected
616,Southern Atlantic Brazilian mangroves,14,Mangroves,Neotropic,NO14,2,Nature Could Reach Half Protected
586,Southern Cone Mesopotamian savanna,9,Flooded Grasslands & Savannas,Neotropic,NO09,3,Nature Could Recover
58,Southern Congolian forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,Nature Imperiled
342,Southern Great Lakes forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,4,Nature Imperiled
